padron,valuacion
775944,12653.46
775945,46445.82
775946,152943.85
775947,15018.31
775884,22234.71
775885,23151.08
775886,18474.64
775887,35391.3
775888,11254.17
775889,11254.17
775890,12165.16
775891,51852.37
775892,17622.95
775894,11253.38
775895,11253.38
775896,11253.38
775897,11253.38
775898,11253.16
775856,77505.86
775899,12164.7
775901,53458.01
775902,11254.17
775903,43401.66
775904,15470.28
775905,11254.17
775906,29164.26
775907,35339.53
775908,86774.03
775909,93214.95
775910,84606.52
775912,111466.96
775913,11254.17
775914,48271.23
775915,32907.09
775916,12504.79
775917,160605.71
775918,14806.03
775920,62350.86
775925,42853.14
775926,31492.19
775928,88882.97
775929,50235.32
775931,70078.01
775932,11254.17
775933,11254.17
775934,212650.06
775857,12164.7
775860,11254.4
775858,12165.25
775862,40630.26
775863,12086.2
775864,63125.91
775865,11254.4
775866,35573.33
775867,81682.04
775869,82063.63
775871,55701.3
775873,13517.75
775874,17781.92
775876,94081.457
775877,19655.84
775878,14569.63
775879,29621.72
775880,11152.17
775881,46139.04
775882,141009.58
775883,11983.88
676351,92061.8
183513,95100.0
676969,38726.99
875536,69339.21
679063,78578.51
281719,142991.14
875425,300753.91
283747,16600.0
875560,85278.5
281848,17500.0
875558,219810.5
283083,59988.02
283884,25771.79
679485,123457.36
776475,411224.53
875551,1410472.48
778185,95187.29
284961,587164.98
380570,69819.38
380614,226855.61
380814,624473.77
380909,78267.54
481296,128343.18
481716,14400.0
482533,236763.42
777056,48907.79
777053,48907.79
777052,48907.79
777007,49251.35
777008,49251.35
777010,49251.35
777021,50566.31
777020,50566.31
777019,50566.31
777011,49099.87
777012,49099.87
777013,49099.87
777014,49099.82
777004,49251.35
777003,49251.35
777002,49251.35
777001,49251.35
777830,50919.63
777831,50919.63
777832,50919.63
777802,48945.34
777801,64978.45
777800,48945.34
777798,48614.41
777797,48614.41
777796,48614.41
777794,48614.41
777805,50919.63
777804,50919.63
482719,75308.57
777047,48907.79
483332,215116.45
777048,48907.79
483365,325491.22
777049,48907.794
777050,48907.79
777051,48907.79
777018,49099.82
483383,155099.65
777017,65132.98
483406,114771.93
777016,49099.82
777015,49099.82
483461,118834.57
483614,16835.96
777027,50566.31
777028,50566.31
675671,106650.69
777005,51247.71
777033,49120.75
777034,52815.14
676733,110483.94
777035,52815.22
777036,52815.22
777037,52815.22
676779,19300.0
284155,150051.51
283946,489785.47
678798,53785.97
678799,53785.97
679719,108220.87
679718,65708.93
381135,49471.42
484047,118421.19
582313,102551.69
582315,156188.97
582321,212247.57
582323,261162.71
582325,201058.59
582326,290209.0
582314,174561.77
180971,1334327.31
481456,175319.62
484623,106769.79
482443,124880.59
483374,244302.72
483409,203933.07
483419,147131.89
482710,35459.56
482694,108579.45
482696,233324.87
482699,76479.84
580527,179840.55
580766,217601.33
581001,30460.79
581064,175920.4
581143,271484.18
581548,49734.9
581744,137695.62
582089,186917.93
675540,113872.38
675542,61955.13
675543,97962.41
675906,59934.78
677037,66156.82
677039,66979.87
677043,85045.82
677047,60033.23
677061,110534.22
677068,88000.93
677071,16233.74
677080,136732.01
677084,26315.21
677087,74170.07
677107,260121.5
677379,741354.27
677418,65234.49
677426,54317.27
677427,56120.6
677444,61984.02
677446,63286.53
677523,2587424.37
677530,77387.36
677535,77387.36
677555,343697.49
677693,226993.73
382596,73363.65
380303,243034.43
382320,137069.43
382327,189496.0
382005,376104.61
676988,95902.39
381050,71241.79
676536,309566.14
484916,277650.07
677391,216033.33
675917,4544806.73
675994,38290.79
675996,70332.17
675997,51560.17
675998,53850.341899
675999,80471.31
283460,31541.24
675480,57933.37
679845,144950.07
775703,752514.72
678376,253170.63
383052,160326.75
775049,426079.43
184889,49788.81
581139,93707.19
675685,221072.897
184682,319213.24
677962,488455.79
382789,230933.33
382507,61198.987
382508,277399.028
280848,374370.05
775770,888112.07
582259,149324.49
675760,121019.9
677360,65056.95
678462,84185.22
583196,111559.32
383509,267733.9
581306,192468.86
383528,204319.27
282890,335229.54
484927,143232.45
484928,225052.47
677536,77387.36
184917,337887.39
482448,103090.45
678662,101180.76
675335,266501.29
875213,1609366.14
382412,172677.8
583324,87291.63
